id,count,mean,std,min,max
individual_1,2000,-4.9737991503207014e-17,1.0,-0.6928030806024091,5.492212701872765
individual_10,2000,-5.684341886080802e-16,0.9999999999999999,-2.2581011619310862,3.239893889069561
individual_11,2000,-2.842170943040401e-17,1.0,-0.6989086971997309,7.594556027497142
individual_12,2000,-8.526512829121202e-17,0.9999999999999999,-1.155963380008128,4.555946686302086
individual_13,2000,8.526512829121202e-17,0.9999999999999999,-0.9432638003732866,4.660489120210188
individual_14,2000,-2.5224267119483554e-16,1.0000000000000002,-1.2573901926085482,3.8967810237697447
individual_15,2000,-1.7053025658242405e-16,1.0,-1.4334806440905488,3.6091221899258303
individual_16,2000,-5.684341886080802e-16,0.9999999999999999,-2.2581011619310862,3.239893889069561
individual_17,2000,2.842170943040401e-17,0.9999999999999999,-0.6281782247195964,4.207091860044644
individual_18,2000,8.526512829121202e-17,0.9999999999999999,-0.9432638003732866,4.660489120210188
individual_19,2000,-1.1368683772161603e-16,1.0,-1.151128490702215,3.775026236374584
individual_2,2000,-1.2789769243681802e-16,0.9999999999999999,-1.4502656222319534,3.187289242945436
individual_20,2000,1.9539925233402755e-16,1.0,-1.6378555859106592,4.378020537352932
individual_3,2000,2.842170943040401e-16,0.9999999999999999,-1.0990549100014928,3.153596171206842
individual_4,2000,1.9539925233402755e-16,1.0,-1.6378555859106592,4.378020537352932
individual_5,2000,-1.1368683772161603e-16,1.0,-1.151128490702215,3.775026236374584
individual_6,2000,2.842170943040401e-17,0.9999999999999999,-0.6281782247195964,4.207091860044644
individual_7,2000,2.842170943040401e-17,1.0,-0.3487466740910783,6.655771607669624
individual_8,2000,-1.5631940186722203e-16,0.9999999999999999,-1.1542831755783562,4.564591056266821
individual_9,2000,9.947598300641403e-17,1.0,-0.6736782035621477,4.592437059903259
